iter	Passed	Remaining
172	826	3948
173	830	3944
174	835	3938
175	839	3929
176	842	3918
177	847	3913
178	851	3905
179	855	3898
180	858	3883
181	861	3874
182	867	3870
183	871	3864
184	876	3861
185	881	3859
186	889	3868
187	895	3869
188	900	3862
189	904	3854
190	908	3849
191	912	3840
192	916	3833
193	920	3823
194	925	3818
195	929	3811
196	933	3804
197	936	3794
198	940	3785
199	945	3781
200	949	3776
201	954	3770
202	958	3762
203	962	3754
204	966	3748
205	970	3739
206	974	3732
207	977	3723
208	983	3720
209	987	3716
210	992	3710
211	996	3703
212	1000	3695
213	1004	3690
214	1010	3687
215	1014	3681
216	1017	3672
217	1023	3669
218	1026	3662
219	1031	3656
220	1035	3648
221	1039	3643
222	1044	3638
223	1047	3629
224	1051	3621
225	1055	3615
226	1060	3611
227	1065	3607
228	1070	3603
229	1075	3601
230	1082	3603
231	1087	3598
232	1090	3591
233	1094	3583
234	1099	3577
235	1102	3569
236	1105	3560
237	1109	3553
238	1113	3546
239	1118	3541
240	1122	3535
241	1127	3532
242	1132	3526
243	1135	3519
244	1140	3515
245	1144	3507
246	1149	3502
247	1152	3495
248	1157	3491
249	1162	3486
250	1166	3481
251	1170	3475
252	1175	3470
253	1180	3466
254	1185	3462
255	1189	3456
256	1192	3449
257	1197	3443
258	1201	3437
259	1206	3433
260	1210	3426
261	1215	3422
262	1219	3416
263	1223	3409
264	1227	3405
265	1231	3397
266	1236	3393
267	1239	3386
268	1244	3382
269	1248	3375
270	1252	3368
271	1257	3364
272	1262	3362
273	1268	3359
274	1273	3357
275	1278	3354
276	1283	3351
277	1287	3345
278	1292	3339
279	1296	3334
280	1300	3328
281	1304	3322
282	1308	3315
283	1313	3310
284	1317	3305
285	1321	3299
286	1325	3294
287	1330	3289
288	1335	3286
289	1340	3281
290	1344	3276
291	1349	3272
292	1354	3268
293	1358	3261
294	1362	3255
295	1365	3247
296	1369	3242
297	1374	3238
298	1379	3234
299	1383	3229
300	1387	3222
301	1391	3216
302	1395	3209
303	1400	3205
304	1404	3199
305	1408	3194
306	1412	3188
307	1413	3176
308	1418	3171
309	1422	3165
310	1426	3160
311	1431	3155
312	1436	3153
313	1440	3148
314	1444	3141
315	1448	3135
316	1452	3129
317	1457	3126
318	1460	3116
319	1465	3114
320	1470	3110
321	1474	3105
322	1482	3107
323	1487	3102
324	1490	3096
325	1495	3091
326	1500	3087
327	1506	3086
328	1510	3081
329	1515	3075
330	1518	3070
331	1522	3064
332	1526	3058
333	1530	3051
334	1535	3047
335	1539	3042
336	1543	3036
337	1547	3031
338	1551	3024
339	1555	3020
340	1559	3013
341	1563	3007
342	1568	3003
343	1572	2999
344	1577	2995
345	1584	2994
346	1588	2989
347	1593	2985
348	1602	2989
349	1608	2986
350	1614	2985
351	1618	2979
352	1623	2975
353	1628	2971
354	1633	2967
355	1638	2963
356	1645	2963
357	1649	2957
358	1653	2953
359	1658	2949
360	1662	2942
361	1666	2937
362	1670	2932
363	1675	2927
364	1679	2922
365	1684	2917
366	1687	2911
367	1692	2906
368	1696	2900
369	1700	2895
370	1703	2888
371	1708	2883
372	1712	2878
373	1716	2872
374	1720	2867
375	1723	2860
376	1728	2855
377	1732	2850
378	1737	2846
379	1741	2841
380	1746	2837
381	1753	2836
382	1759	2834
383	1766	2834
384	1772	2830
385	1776	2826
386	1781	2821
387	1787	2819
388	1791	2813
389	1796	2809
390	1800	2805
391	1805	2800
392	1812	2799
393	1817	2795
394	1821	2789
395	1825	2785
396	1829	2778
397	1833	2773
398	1837	2768
399	1841	2762
400	1846	2758
401	1851	2753
402	1856	2749
403	1861	2746
404	1866	2741
405	1872	2739
406	1877	2734
407	1881	2729
408	1885	2724
409	1888	2718
410	1893	2712
411	1897	2708
412	1901	2702
413	1905	2697
414	1909	2692
415	1914	2687
416	1918	2681
417	1922	2676
418	1926	2671
419	1930	2666
420	1935	2661
421	1938	2655
422	1942	2650
423	1946	2644
424	1950	2639
